Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1995,412.6971252,472.684265,350.0645937,406.1521586,333.4389542,346.0164194,400.3351029,,375.9966376,322.8994045,448.6258559,,355.9844063,343.1385325,341.9237752,394.9323281,317.5808437,383.5144968,283.7937959,376.0035013,388.2420313,345.7635262,378.9655287,412.8511466,453.2570714,473.5861758,420.5308969,375.8739186,330.8112149,396.0321079,205.4428629,416.6550411,393.3744096,392.5703858,408.0700856,344.6032494,290.7288397,313.1253286,429.4405823,397.252562,399.5882975,378.7778425,402.572519,306.2954846,431.5751749,380.2155324,390.4735464,310.4444948,428.4610061,399.7164626,370.3749037
1996,356.0567557,525.8705772,262.8440343,380.5947123,320.3073574,346.2938181,441.2946154,,340.2486831,294.3199465,404.7467688,,330.3810176,350.3622595,315.6188194,375.0783571,326.2421863,356.0985538,328.0756194,339.4181654,373.8433823,328.0234718,399.2703957,422.0093961,413.8922434,328.2579639,409.4589345,397.6457614,219.7746784,392.6252211,193.5093993,261.8978172,470.5376806,378.9646812,382.4151531,334.1260773,303.9761952,295.0308448,447.8376809,342.657995,368.8795077,340.5267411,386.808251,291.4319201,356.2362987,361.6358478,393.6929326,284.4439209,420.0013503,394.6166575,420.8259975
1997,371.4668833,561.2596899,283.3951006,391.7909713,320.1796035,350.0052145,355.6582516,,327.6737428,284.3611311,422.8320944,,374.3924949,371.9753837,319.5693821,388.2652619,341.7908247,346.391699,321.1937085,354.8219712,367.9499519,409.9282971,386.1771234,422.2877044,397.5194279,326.7431547,455.5245963,331.2437595,251.743239,438.3939656,238.3718548,318.3055385,400.0504673,395.6015054,414.1172382,319.8102136,313.8229632,317.3700874,406.6224023,254.0724735,392.5020962,362.8386637,391.2164502,295.7235928,386.5701369,419.0713139,406.876199,276.1686503,431.6043618,404.8905324,435.6243981
1998,386.6882769,505.7420791,367.9157331,418.7895546,321.8971738,385.1083135,553.0544482,,341.0611567,315.7337112,407.1976141,,370.5317745,364.6842612,342.343706,406.1403412,385.7908036,353.0930598,315.7637717,363.9810564,393.0166518,383.3632046,358.372235,413.4203639,379.133422,337.2557658,469.4792157,369.6977916,286.9818192,373.5687451,251.4334282,471.9273146,408.4180148,392.5307942,443.3725855,333.3017481,359.0149996,307.4123659,436.9870024,275.8301897,418.2012451,375.6371459,378.6321725,300.6452019,381.7295752,397.7902088,408.6017562,320.4923553,421.7128299,411.4252183,476.1805051
1999,404.3933621,536.6558096,337.8794861,389.2836924,328.4191807,414.6826176,346.2035932,,367.3593423,325.8811347,413.0861463,,371.5626805,339.5218972,361.9634406,421.9791416,411.0562484,354.649083,337.026818,417.1452907,381.0587265,381.7113701,365.5272651,428.3948857,386.9818852,355.8694626,504.7009379,420.8446785,260.353921,381.4392942,263.9738484,524.4401459,398.7498857,417.289402,425.2583396,341.2200921,316.8372288,338.9952908,439.293549,291.1814779,428.8260379,412.6815727,386.9517841,322.1744332,398.8005177,427.4855268,414.868518,309.1110575,448.9269842,422.4337934,510.6512847
2000,410.9628049,539.2133761,361.9523646,393.276911,355.5006773,429.5647766,410.7887943,,403.27394,327.5729347,425.5959629,,372.526442,349.9438547,339.4995247,439.4967306,401.8891696,358.1687255,367.4614988,373.5300432,388.484229,403.0805694,378.3475668,446.1854222,387.7481599,372.7804281,474.0618767,430.9884092,243.0718935,314.3325075,331.8229608,531.9843571,407.711548,392.0320552,440.8292571,351.3014786,307.2697571,347.7913198,479.9081815,304.4731984,432.1060427,438.48685,415.0779446,341.7855627,374.4979525,399.1733454,438.9087848,326.2042943,457.3418324,438.9025769,520.0094572
2001,390.0484533,592.7631731,336.8737292,440.5882389,366.2398307,421.1027048,394.9763165,,342.1055791,318.4846537,402.7634643,,363.1232585,343.3583897,319.1711254,418.2090687,412.1773824,341.3913884,372.7665339,380.9219017,374.7420395,381.7653922,397.1785366,433.0292913,377.0400954,355.5866322,473.0377859,443.6267249,257.3704045,300.5239637,358.3895954,496.8238127,405.8331337,412.7220433,474.9292541,334.4458573,302.8113432,319.3208683,440.6990545,284.6101285,426.9098346,484.2610385,381.3274565,328.7541208,432.1849507,332.6682778,424.4059892,323.9655256,438.7570829,421.7746556,549.8870014
2002,384.3697912,631.6004668,315.4028006,437.7471878,365.8994078,409.5997773,400.5352132,,405.4322668,307.1580075,403.4178856,,376.4625585,308.6191183,308.1101769,371.855256,382.4899632,343.9394724,371.3962607,382.5571034,279.1819843,403.8277881,388.7396625,451.98085,373.1197013,338.8776158,481.0509787,502.7581392,317.5936947,295.7642106,368.3332633,616.9606823,374.6383804,420.8707009,511.2318351,323.4631673,364.5895187,329.2733866,410.2681331,295.0121316,422.7496382,443.5548576,389.1228032,343.8767901,492.8095673,312.488424,407.0812283,308.502106,455.7309815,390.4192014,577.9647499
2003,401.564718,638.7440405,350.018524,461.0140711,372.6478152,406.8263765,413.7357399,,430.9939817,312.3319878,410.9373571,,374.1876354,301.9419107,304.2115204,373.5782461,373.7140828,340.5218456,381.4153433,428.4867574,355.4341376,423.3128544,362.6800514,453.109147,387.4609736,363.3303347,468.5115355,467.0128608,356.7670724,298.1392206,338.7601287,479.4858173,411.9152085,400.7554548,474.5530519,329.2714983,343.1711643,349.7717887,416.6092726,302.0006681,426.1465475,443.3009549,391.6207531,353.243462,391.5533016,401.9646249,402.9045427,341.1555095,453.3435416,381.0948348,539.2061318
2004,395.665318,561.740114,312.8104191,438.9835554,360.6577473,433.2426016,328.3827411,,293.1478801,308.1667249,406.7914825,,396.0783235,310.760812,308.2619201,387.5193343,357.8803186,354.3035421,386.9617291,412.4773817,339.7245411,425.1877576,364.9635765,455.4264998,396.0223987,379.4381842,489.3426994,478.6645665,285.9890671,273.084158,324.8533848,523.5099115,385.8025448,361.6954052,478.5151171,319.4605054,468.7679189,373.9487778,395.1265377,277.0091754,396.3603474,486.317955,383.6095397,355.0308879,489.3878191,395.4353955,399.6846632,325.5085913,437.0958062,376.7401662,538.8279059
